GAUSSIAN NOISE:
[Hybrid] Step 2200: Loss = 3.9057, W = 2.4159, b = 1.9836, LR = 0.000059
[Squared] Step 2300: Loss = 5.8757, W = 2.4193, b = 1.9938, LR = 0.000008
[Huber] Step 2300: Loss = 1.4967, W = 2.3142, b = 1.8459, LR = 0.000047
[Hybrid] Step 2300: Loss = 3.9059, W = 2.4159, b = 1.9837, LR = 0.000001
[Squared] Step 2400: Loss = 5.8759, W = 2.4193, b = 1.9938, LR = 0.000001
[Huber] Step 2400: Loss = 1.4966, W = 2.3144, b = 1.8461, LR = 0.000115
[Hybrid] Step 2400: Loss = 3.9059, W = 2.4159, b = 1.9837, LR = 0.000001
[Squared] Step 2500: Loss = 5.8757, W = 2.4193, b = 1.9939, LR = 0.000073
[Huber] Step 2500: Loss = 1.4964, W = 2.3145, b = 1.8463, LR = 0.000001
[Hybrid] Step 2500: Loss = 3.9059, W = 2.4159, b = 1.9838, LR = 0.000001
[Squared] Step 2600: Loss = 5.8758, W = 2.4193, b = 1.9939, LR = 0.000001
[Huber] Step 2600: Loss = 1.4962, W = 2.3147, b = 1.8465, LR = 0.000193
[Hybrid] Step 2600: Loss = 3.9061, W = 2.4159, b = 1.9838, LR = 0.000001
[Squared] Step 2700: Loss = 5.8757, W = 2.4193, b = 1.9939, LR = 0.000001
[Huber] Step 2700: Loss = 1.4961, W = 2.3149, b = 1.8467, LR = 0.000241
[Hybrid] Step 2700: Loss = 3.9057, W = 2.4159, b = 1.9839, LR = 0.000001
[Squared] Step 2800: Loss = 5.8759, W = 2.4194, b = 1.9939, LR = 0.000091
[Huber] Step 2800: Learning rate reduced to 0.000000
[Huber] Step 2800: Loss = 1.4964, W = 2.3151, b = 1.8469, LR = 0.000033
[Hybrid] Step 2800: Loss = 3.9058, W = 2.4159, b = 1.9839, LR = 0.000001
[Squared] Step 2900: Loss = 5.8759, W = 2.4194, b = 1.9940, LR = 0.000001
[Huber] Step 2900: Loss = 1.4971, W = 2.3152, b = 1.8470, LR = 0.000012
[Hybrid] Step 2900: Loss = 3.9057, W = 2.4160, b = 1.9840, LR = 0.000001
[Squared] Step 3000: Loss = 5.8757, W = 2.4194, b = 1.9940, LR = 0.000200
[Huber] Step 3000: Loss = 1.4962, W = 2.3154, b = 1.8472, LR = 0.000046
[Hybrid] Step 3000: Loss = 3.9057, W = 2.4160, b = 1.9841, LR = 0.000239
[Squared] Step 3100: Loss = 5.8761, W = 2.4194, b = 1.9940, LR = 0.000001
[Huber] Step 3100: Loss = 1.4963, W = 2.3155, b = 1.8474, LR = 0.000001
